epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.5665,2.50903,5.49093,2.25773,0.31743,0.09711,0.03444,0.00984,2.60761,6.2803,2.26281,0.000414244,0.000414244,0.000414244
2,134.858,2.43907,4.2478,2.18444,0.16368,0.12693,0.06452,0.01957,2.51071,3.95815,2.36427,0.000748651,0.000748651,0.000748651
3,204.014,2.42925,3.59629,2.21083,0.12452,0.1229,0.06574,0.01904,2.61426,3.97754,2.21464,0.00100056,0.00100056,0.00100056
4,282.895,2.40337,3.32044,2.17654,0.14782,0.13865,0.06755,0.02546,2.51107,3.52383,2.27219,0.00087875,0.00087875,0.00087875
5,349.158,2.29668,3.11231,2.10795,0.17906,0.19977,0.10733,0.03647,2.37872,3.62903,2.17902,0.000755,0.000755,0.000755
6,416.335,2.22417,2.94147,2.02372,0.34539,0.18376,0.11691,0.0459,2.24813,3.06759,2.01622,0.00063125,0.00063125,0.00063125
7,481.398,2.15559,2.77371,1.96404,0.22761,0.22846,0.15044,0.06197,2.15663,2.876,1.96099,0.0005075,0.0005075,0.0005075
8,547.845,2.1042,2.66177,1.92581,0.24471,0.23918,0.16155,0.0627,2.11331,2.80747,1.91389,0.00038375,0.00038375,0.00038375
9,614.496,2.02341,2.59189,1.87961,0.29287,0.29414,0.22079,0.09129,2.10469,2.68761,1.87294,0.00026,0.00026,0.00026
10,679.783,1.97623,2.46836,1.81766,0.32787,0.30135,0.2372,0.10019,2.00497,2.57225,1.81367,0.00013625,0.00013625,0.00013625
